,CreditScore,Age,Balance,EstimatedSalary,Exited,Geography_Germany,Geography_Spain,Gender_Male,Tenure_1,Tenure_2,Tenure_3,Tenure_4,Tenure_5,Tenure_6,Tenure_7,Tenure_8,Tenure_9,Tenure_10,NumOfProducts_2,NumOfProducts_3,NumOfProducts_4,HasCrCard_1,IsActiveMember_1
0,619,0.29351742289674687,-1.225847671409028,0.021886493995386145,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
1,608,0.19816383219544517,0.11735002143511067,0.21653375188734028,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,502,0.29351742289674687,1.3330533457228906,0.24068690006348817,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
3,699,0.007456650792841798,-1.225847671409028,-0.10891791702847124,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,850,0.38887101359804854,0.7857278997960593,-0.3652757825144027,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
5,645,0.4842246042993502,0.5973285944410416,0.8636502870218095,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
6,822,1.0563461485071604,-1.225847671409028,-1.5654872211931183,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
7,376,-0.9460792562201751,0.6180189508533648,0.3348537298101205,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
8,501,0.4842246042993502,1.050820286584903,-0.437328846094908,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
9,684,-1.1367864376227785,0.931463361993678,-0.4932304840924708,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
10,528,-0.7553720748175716,0.4091854022850921,-0.3461997008923627,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
11,497,-1.4228472097266835,-1.225847671409028,-0.41212331559230697,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
